chk;ticket;proyecto;cliente;RUC;código circuito;Nombre de circuito;Servicio;Usuario responsable;Etapa;Área del usuario responsable;Fecha proyección de cierre;Motivo de Cambio;Estado;Motivo;Fecha de inicio;Fecha de cierre;Tiempo detenido(H:m:s);Tipo cliente;Coordinador;Gestor;Obra Civil;Actualización de planta;Evento;Demo;Prioridad;Id Factibilidad;factibilidad_soles;factibilidad_dolares;factibilidad_tc;provision_soles;provision_dolares;provision_tc;liquidacion_soles;liquidacion_dolares;liquidacion_tc;Avance;Sub Motivo
1;134707;0;ALIMENTOS CIELO S.A.C.;20517842517;82448;Carlos Villaran 611 - INT   - Enlace Principal;Internet Seguro Avanzado (Cloud);Job Pool;Gestión Obra civil;Aplicativo;2022-09-30;Prefactibilidad errónea;Asignado;;2022-09-06 16:20:25;;00:00:00          <button id="btn_ver_detalle" padding=".25em .4em" onclick="verDetalleTiempo(134707)" align:"right"="" border-radius="0.40rem!important" color="#000" background-color="#9B9B9B" =""><b>Detalle</b></button>;PLATINUM;Daniel Bernal;Magda Quiroz;NO;NO;NO;NO;NO;;0.00;0;3.70;1995.67;539.37;3.70;undefined;0;3.70;;
1;134707;0;ALIMENTOS CIELO S.A.C.;20517842517;82448;Carlos Villaran 611 - INT   - Enlace Principal;Internet Seguro Avanzado (Cloud);Job Pool;Gestión Obra civil;Aplicativo;2022-09-30;Prefactibilidad errónea;Asignado;;2022-09-06 16:20:25;;00:00:00          <button id="btn_ver_detalle" padding=".25em .4em" onclick="verDetalleTiempo(134707)" align:"right"="" border-radius="0.40rem!important" color="#000" background-color="#9B9B9B" =""><b>Detalle</b></button>;PLATINUM;Daniel Bernal;Magda Quiroz;NO;NO;NO;NO;NO;;0.00;0;3.70;1995.67;539.37;3.70;undefined;0;3.70;;
0;134706;0;ALIMENTOS CIELO S.A.C.;20517842517;73308;;Sip Trunk - Internet;Zarate Carpio Alexander;Contactar cliente y validar dimensionamiento;Instalaciones;2022-09-30;;Asignado;;2022-09-06 16:16:56;;00:00:00          <button id="btn_ver_detalle" padding=".25em .4em" onclick="verDetalleTiempo(134706)" align:"right"="" border-radius="0.40rem!important" color="#000" background-color="#9B9B9B" =""><b>Detalle</b></button>;PLATINUM;Hugo Martin Vasquez Chavez;Magda Quiroz;NO;NO;NO;NO;NO;;0.00;0;0.00;0.00;0.00;0.00;undefined;0;0.00;;
0;134692;0;ALIMENTOS CIELO S.A.C.;20517842517;73130;;Internet Seguro;Zarate Carpio Alexander;Contactar cliente y validar dimensionamiento;Instalaciones;2022-10-07;Prefactibilidad errónea;Asignado;;2022-09-05 14:27:58;;00:00:00          <button id="btn_ver_detalle" padding=".25em .4em" onclick="verDetalleTiempo(134692)" align:"right"="" border-radius="0.40rem!important" color="#000" background-color="#9B9B9B" =""><b>Detalle</b></button>;PLATINUM;Daniel Bernal;Magda Quiroz;NO;NO;NO;NO;NO;;0.00;0;0.00;0.00;0.00;0.00;undefined;0;0.00;;
0;134692;0;ALIMENTOS CIELO S.A.C.;20517842517;73130;;Internet Seguro;Zarate Carpio Alexander;Contactar cliente y validar dimensionamiento;Instalaciones;2022-10-07;Prefactibilidad errónea;Asignado;;2022-09-05 14:27:58;;00:00:00          <button id="btn_ver_detalle" padding=".25em .4em" onclick="verDetalleTiempo(134692)" align:"right"="" border-radius="0.40rem!important" color="#000" background-color="#9B9B9B" =""><b>Detalle</b></button>;PLATINUM;Daniel Bernal;Magda Quiroz;NO;NO;NO;NO;NO;;0.00;0;0.00;0.00;0.00;0.00;undefined;0;0.00;;
0;134666;0;ALIMENTOS CIELO S.A.C.;20517842517;82448;;Internet Dedicado;Daniel Bernal;Contactar cliente y validar dimensionamiento;Instalaciones;2022-09-30;;Asignado;;2022-09-02 09:39:53;;00:00:00          <button id="btn_ver_detalle" padding=".25em .4em" onclick="verDetalleTiempo(134666)" align:"right"="" border-radius="0.40rem!important" color="#000" background-color="#9B9B9B" =""><b>Detalle</b></button>;PLATINUM;Daniel Bernal;Magda Quiroz;NO;NO;NO;NO;NO;;0.00;0;0.00;0.00;0.00;0.00;undefined;0;0.00;;
0;134653;0;ALIMENTOS DE EXPORTACION SOCIEDAD ANONIMA CERRADA - ALIEX S.A.C.;20504187587;57328;QUINTA VIVANCO SN;Internet Seguro Avanzado DC Nova;Daniel Bernal;Instalación de medio fisico;Instalaciones;;;Asignado;;2022-09-01 13:10:47;;00:00:00          <button id="btn_ver_detalle" padding=".25em .4em" onclick="verDetalleTiempo(134653)" align:"right"="" border-radius="0.40rem!important" color="#000" background-color="#9B9B9B" =""><b>Detalle</b></button>;GOLD;Daniel Bernal;Magda Quiroz;NO;NO;NO;NO;NO;;0.00;0;3.70;2384.43;644.44;3.70;undefined;0;3.70;;
0;134643;0;ALIMENTOS CIELO S.A.C.;20517842517;71896;UNIVERSITARIA K - INT   - Enlace Principal;Internet Dedicado;Galindo Vivanco Ulises Delson;Instalación de medio fisico;Instalaciones;2022-09-30;;Asignado;;2022-09-01 12:56:44;;00:00:00          <button id="btn_ver_detalle" padding=".25em .4em" onclick="verDetalleTiempo(134643)" align:"right"="" border-radius="0.40rem!important" color="#000" background-color="#9B9B9B" =""><b>Detalle</b></button>;PLATINUM;Daniel Bernal;Magda Quiroz;NO;NO;NO;NO;NO;;0.00;0;3.70;1869.35;505.23;3.70;undefined;0;3.70;;
0;134642;0;ABASTECEDORA ALIMENTICIA S.A.C;20556138428;57327;QUINTA VIVANCO SN;Internet Seguro;Job Pool;Gestión Obra civil;Aplicativo;2022-09-30;;Asignado;;2022-09-01 12:55:50;;00:00:00          <button id="btn_ver_detalle" padding=".25em .4em" onclick="verDetalleTiempo(134642)" align:"right"="" border-radius="0.40rem!important" color="#000" background-color="#9B9B9B" =""><b>Detalle</b></button>;GOLD;Daniel Bernal;Magda Quiroz;NO;NO;NO;NO;NO;;0.00;0;3.70;1883.12;508.95;3.70;undefined;0;3.70;;
0;134641;0;ABASTECEDORA ALIMENTICIA S.A.C;20556138428;82448;Carlos Villaran 611 - INT   - Enlace Principal;Internet Dedicado;Job Pool;Gestión Obra civil;Aplicativo;2022-10-01;;Asignado;;2022-09-01 12:54:43;;00:00:00          <button id="btn_ver_detalle" padding=".25em .4em" onclick="verDetalleTiempo(134641)" align:"right"="" border-radius="0.40rem!important" color="#000" background-color="#9B9B9B" =""><b>Detalle</b></button>;GOLD;Daniel Bernal;Magda Quiroz;NO;NO;NO;NO;NO;;6604.50;1785;3.70;2158.03;583.25;3.70;undefined;0;3.70;;
